Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m),Harversine Distance to Next (m),Terrain Distance to Next (m)
鹿東1.5K,0,2024-08-11 09:04:09,23.445726,120.958393,245749,2593642,3795.000000,南C-1-3/C-1型 方向牌,南C-1-3/C-1型 方向牌,Milestone,3794.570068,76,92
鹿1.6K,1,2024-08-11 09:04:09,23.445326,120.958998,245811,2593597,3744.000000,,,Milestone,3743.679932,73,78
鹿1.7K,2,2024-08-11 09:04:09,23.445015,120.959624,245875,2593563,3716.000000,,,Milestone,3716.120117,70,77
鹿1.8K,3,2024-08-11 09:04:09,23.444790,120.960270,245941,2593538,3684.000000,鹿F-1-2/F-1型 指引標誌,鹿F-1-2/F-1型 指引標誌,Milestone,3683.580078,63,71
鹿1.9K,4,2024-08-11 09:04:09,23.444740,120.960890,246004,2593532,3653.000000,鹿C-1-1/C-1型 方向牌,鹿C-1-1/C-1型 方向牌,Milestone,3653.229980,84,90
鹿2.0K,5,2024-08-11 09:04:09,23.445153,120.961577,246074,2593578,3620.000000,,,Milestone,3619.949951,69,73
鹿2.1K/支0.8K,6,2024-08-11 09:04:09,23.445398,120.962203,246138,2593605,3598.000000,鹿C-2-1/C-1型 方向牌,鹿C-2-1/C-1型 方向牌,Milestone,3598.479980,70,74
鹿2.2K,7,2024-08-11 09:04:09,23.445813,120.962713,246190,2593651,3623.000000,,,Milestone,3622.929932,73,73
鹿2.3K,8,2024-08-11 09:04:09,23.446140,120.963337,246254,2593687,3619.000000,鹿C-3-1/C-3型 里程柱,鹿C-3-1/C-3型 里程柱,Milestone,3619.300049,63,63
鹿2.4K,9,2024-08-11 09:04:09,23.446600,120.963692,246290,2593738,3619.000000,,,Milestone,3618.560059,81,81
鹿2.5K,10,2024-08-11 09:04:09,23.447233,120.964079,246330,2593808,3630.000000,,,Milestone,3629.939941,71,72
鹿2.6K,11,2024-08-11 09:04:09,23.447486,120.964719,246395,2593836,3643.000000,,,Milestone,3642.669922,82,86
鹿2.7K,12,2024-08-11 09:04:09,23.447398,120.965513,246476,2593827,3616.000000,,,Milestone,3616.310059,85,88
鹿2.8K,13,2024-08-11 09:04:09,23.447526,120.966330,246560,2593841,3642.000000,鹿F-1-3/F-1型 指引標誌,鹿F-1-3/F-1型 指引標誌,Milestone,3641.899902,62,63
鹿2.9K,14,2024-08-11 09:04:09,23.447810,120.966849,246613,2593872,3629.000000,,,Milestone,3628.929932,69,75
鹿3.0K,15,2024-08-11 09:04:09,23.448099,120.967449,246674,2593904,3601.000000,,,Milestone,3601.189941,81,81
鹿3.1K,16,2024-08-11 09:04:09,23.448082,120.968242,246755,2593902,3601.000000,,,Milestone,3601.370117,75,75
鹿3.2K,17,2024-08-11 09:04:09,23.448197,120.968964,246829,2593915,3591.000000,,,Milestone,3591.080078,84,104
鹿3.3K,18,2024-08-11 09:04:09,23.448345,120.969770,246911,2593931,3530.000000,鹿C-3-3/C-3型 里程柱,鹿C-3-3/C-3型 里程柱,Milestone,3529.729980,68,81
鹿3.4K,19,2024-08-11 09:04:09,23.448636,120.970361,246972,2593964,3487.000000,,,Milestone,3486.719971,82,85
鹿3.5K,20,2024-08-11 09:04:09,23.448971,120.971077,247045,2594001,3465.000000,鹿F-1-4/F-1型 指引標誌,鹿F-1-4/F-1型 指引標誌,Milestone,3465.199951,66,67
鹿3.6K,21,2024-08-11 09:04:09,23.448745,120.971676,247106,2593976,3452.000000,,,Milestone,3452.129883,67,71
鹿3.7K,22,2024-08-11 09:04:09,23.448684,120.972332,247173,2593969,3430.000000,,,Milestone,3429.790039,72,78
鹿3.8K,23,2024-08-11 09:04:09,23.448589,120.973029,247244,2593958,3399.000000,鹿C-3-4/C-3型 里程柱,鹿C-3-4/C-3型 里程柱,Milestone,3399.449951,79,84
鹿3.9K,24,2024-08-11 09:04:09,23.448747,120.973783,247321,2593976,3371.000000,,,Milestone,3371.199951,71,72
鹿4.0K,25,2024-08-11 09:04:09,23.448989,120.974430,247388,2594003,3359.000000,,,Milestone,3358.620117,80,85
鹿4.1K,26,2024-08-11 09:04:09,23.449218,120.975169,247463,2594028,3328.000000,,,Milestone,3327.530029,80,86
鹿4.2K,27,2024-08-11 09:04:09,23.449239,120.975948,247543,2594030,3294.000000,,,Milestone,3294.020020,97,101
鹿4.3K,28,2024-08-11 09:04:09,23.449427,120.976872,247637,2594051,3265.000000,鹿C-3-5/C-3型 里程柱,鹿C-3-5/C-3型 里程柱,Milestone,3264.540039,114,128
鹿4.4K,29,2024-08-11 09:04:09,23.449702,120.977953,247747,2594082,3208.000000,,,Milestone,3207.669922,105,106
鹿4.5K,30,2024-08-11 09:04:09,23.450137,120.978871,247841,2594130,3195.000000,,,Milestone,3194.500000,105,106
鹿4.6K,31,2024-08-11 09:04:09,23.450171,120.979900,247946,2594133,3206.000000,,,Milestone,3206.280029,107,108
鹿4.7K,32,2024-08-11 09:04:09,23.450018,120.980940,248053,2594116,3200.000000,,,Milestone,3200.199951,103,104
鹿4.8K,33,2024-08-11 09:04:09,23.449795,120.981924,248153,2594092,3187.000000,鹿C-3-6/C-3型 里程柱,鹿C-3-6/C-3型 里程柱,Milestone,3186.530029,91,96
鹿4.9K,34,2024-08-11 09:04:09,23.450180,120.982710,248233,2594134,3156.000000,鹿F-1-5/F-1型 指引標誌,鹿F-1-5/F-1型 指引標誌,Milestone,3156.060059,105,105
鹿5.0K,35,2024-08-11 09:04:09,23.450565,120.983649,248329,2594177,3154.000000,,,Milestone,3154.229980,105,115
鹿5.1K,36,2024-08-11 09:04:09,23.450848,120.984636,248430,2594208,3107.000000,,,Milestone,3107.189941,109,122
鹿5.2K,37,2024-08-11 09:04:09,23.450952,120.985702,248539,2594220,3052.000000,,,Milestone,3052.149902,118,136
鹿5.3K,38,2024-08-11 09:04:09,23.450911,120.986862,248658,2594215,2985.000000,鹿C-3-7/C-3型 里程柱,鹿C-3-7/C-3型 里程柱,Milestone,2984.689941,91,92
鹿5.4K,39,2024-08-11 09:04:09,23.450810,120.987745,248748,2594204,2968.000000,,,Milestone,2968.399902,89,90
鹿5.5K,40,2024-08-11 09:04:09,23.450630,120.988600,248835,2594184,2980.000000,,,Milestone,2979.979980,,
